index;RSN;icol;nvoxel;tissue;itissue;min;max;hout;hcort;hbg;hcer;htrunc;nroi
232;31;8;789;cortex;1;4.801634312;13.80490208;0;789;0;0;0;232
233;31;9;332;cortex;1;5.763276577;13.04269791;0;332;0;0;0;233
234;32;1;584;cortex;1;3.804952383;11.16408539;0;584;0;0;0;234
235;32;2;434;cortex;1;3.34454608;10.62775326;0;434;0;0;0;235
236;32;3;163;cortex;1;3.310308695;9.656626701;0;163;0;0;0;236
237;32;4;208;cortex;1;3.395824909;9.453421593;0;208;0;0;0;237
238;32;5;95;cortex;1;4.961038113;6.623551846;0;95;0;0;0;238
239;32;6;802;cortex;1;4.297077179;10.63918495;0;802;0;0;0;239
240;32;7;419;cortex;1;3.488727808;9.327551842;0;419;0;0;0;240
241;32;9;65;cortex;1;3.372145891;4.885543823;0;65;0;0;0;241
242;32;10;292;cortex;1;4.222016335;8.308170319;0;292;0;0;0;242
243;33;1;258;cortex;1;3.211103439;8.320667267;0;258;0;0;0;243
244;33;2;148;cortex;1;3.380381584;5.91245079;0;148;0;0;0;244
245;33;3;1144;cortex;1;3.520021677;11.20728016;0;1144;0;0;0;245
246;33;4;516;cortex;1;4.349032402;8.096895218;0;516;0;0;0;246
247;33;5;30;cortex;1;3.619915962;6.884160995;0;30;0;0;0;247
248;33;7;351;cortex;1;4.985441685;10.23474026;0;351;0;0;0;248
249;33;8;114;cortex;1;3.260962725;9.363985062;0;114;0;0;0;249
250;33;9;794;cortex;1;3.800240755;9.281039238;0;794;0;0;0;250
251;33;10;722;cortex;1;4.064808846;10.80185223;0;722;0;0;0;251
252;33;11;199;cortex;1;4.40461874;8.909132957;0;199;0;0;0;252
253;33;12;583;cortex;1;3.821722984;9.849115372;0;583;0;0;0;253
254;35;1;140;cortex;1;3.446717739;6.744263172;0;140;0;0;0;254
255;35;2;387;cortex;1;3.444433928;7.131796837;0;387;0;0;0;255
256;35;4;135;cortex;1;3.462494373;6.360135555;0;135;0;0;0;256
257;35;7;103;cortex;1;3.438462257;5.988251686;0;103;0;0;0;257
258;35;8;100;cortex;1;3.457831621;5.496243477;0;100;0;0;0;258
259;35;9;980;cortex;1;3.472712278;11.29342079;0;980;0;0;0;259
260;35;10;985;cortex;1;3.449677229;11.35380173;0;985;0;0;0;260
261;35;13;202;cortex;1;5.879582405;9.793358803;0;202;0;0;0;261
262;35;14;532;cortex;1;5.671214104;9.978838921;0;532;0;0;0;262
263;35;15;73;cortex;1;5.898990631;8.971914291;0;73;0;0;0;263
264;35;16;307;cortex;1;5.667718887;9.365103722;0;307;0;0;0;264
265;35;17;448;cortex;1;4.766478539;9.517146111;0;448;0;0;0;265
266;35;19;52;cortex;1;4.867016315;6.790987968;0;52;0;0;0;266
267;36;1;149;cortex;1;3.165527344;4.905968189;0;149;0;0;0;267
268;36;2;32;cortex;1;3.171863556;4.229380608;0;32;0;0;0;268
269;36;3;116;cortex;1;3.172682285;5.636381626;0;116;0;0;0;269
270;36;4;67;cortex;1;3.166395187;5.235458851;0;67;0;0;0;270
271;36;5;85;cortex;1;3.246967316;6.48094368;0;85;0;0;0;271
272;36;6;223;cortex;1;3.514490843;8.494400024;0;223;0;0;0;272
273;36;7;236;cortex;1;4.203855991;8.24450016;0;236;0;0;0;273
274;36;8;246;cortex;1;3.904005051;9.542300224;0;246;0;0;0;274
275;36;9;285;cortex;1;5.367532253;8.450001717;0;285;0;0;0;275
276;36;10;51;cortex;1;5.110255718;7.108873844;0;51;0;0;0;276
277;36;11;635;cortex;1;4.119807243;12.61072922;0;635;0;0;0;277
278;36;12;235;cortex;1;4.877048969;10.49510479;0;235;0;0;0;278
279;36;13;91;cortex;1;4.504853249;9.766828537;0;91;0;0;0;279
280;36;14;80;cortex;1;4.67499733;8.360351563;0;80;0;0;0;280
281;37;1;136;cortex;1;5.037221432;8.954502106;0;136;0;0;0;281
282;37;2;79;cortex;1;5.281614304;8.595314026;0;79;0;0;0;282
283;37;3;223;cortex;1;3.409827471;10.76023293;0;223;0;0;0;283
284;37;4;193;cortex;1;4.544169903;9.521526337;0;193;0;0;0;284
285;37;5;539;cortex;1;6.632581234;13.6121788;0;539;0;0;0;285
286;37;6;1014;cortex;1;4.78274107;12.51214218;0;1014;0;0;0;286
287;37;7;600;cortex;1;4.785960674;12.67106915;0;600;0;0;0;287
288;37;8;43;cortex;1;4.383852005;6.959095001;0;43;0;0;0;288
289;37;9;128;cortex;1;3.92688489;8.861503601;0;128;0;0;0;289
290;37;10;48;cortex;1;6.474388599;9.016561508;0;48;0;0;0;290
291;37;11;128;cortex;1;4.750209808;8.276741028;0;128;0;0;0;291
292;38;1;1229;cortex;1;5.120763302;14.34585571;0;1229;0;0;0;292
293;38;2;1699;cortex;1;4.237197399;14.58652878;0;1699;0;0;0;293
294;38;3;308;cortex;1;3.901196957;13.92296314;0;308;0;0;0;294
295;38;4;478;cortex;1;5.493876934;17.50912666;0;478;0;0;0;295
296;38;5;1717;cortex;1;4.480509758;18.11294746;0;1717;0;0;0;296
297;38;6;1058;cortex;1;4.910840988;17.7247982;0;1058;0;0;0;297
298;38;7;28;cortex;1;4.096944332;5.497416973;0;28;0;0;0;298
299;38;8;70;cortex;1;4.468801022;6.375428677;0;70;0;0;0;299
300;41;1;54;cortex;1;3.218058586;4.846809387;0;54;0;0;0;300
301;41;2;39;cortex;1;3.220934868;5.417142391;0;39;0;0;0;301
302;41;3;295;cortex;1;3.214209557;7.161625862;0;295;0;0;0;302
303;41;4;107;cortex;1;3.229480982;5.839636326;0;107;0;0;0;303
304;41;5;28;cortex;1;3.233501911;5.922990322;0;28;0;0;0;304
305;41;6;448;cortex;1;3.214093685;7.949986935;0;448;0;0;0;305
306;41;8;47;cortex;1;3.233179092;5.117296219;0;47;0;0;0;306
307;41;9;153;cortex;1;4.972490788;10.52900982;0;153;0;0;0;307
308;41;10;1330;cortex;1;3.212719917;17.9788475;0;1330;0;0;0;308
309;41;11;81;cortex;1;3.410817623;7.123069286;0;81;0;0;0;309
310;41;13;42;cortex;1;4.70676899;9.988575935;0;42;0;0;0;310
311;41;14;82;cortex;1;3.436567545;11.53892517;0;82;0;0;0;311
312;41;15;65;cortex;1;4.26757431;10.28002548;0;65;0;0;0;312
313;41;16;259;cortex;1;4.482997894;12.29426956;0;259;0;0;0;313
314;41;17;789;cortex;1;4.330108166;14.14230061;0;789;0;0;0;314
315;41;18;169;cortex;1;4.283193588;11.46313763;0;169;0;0;0;315
316;41;19;190;cortex;1;6.610041142;11.16776752;0;190;0;0;0;316
317;2;1;35;BG    ;2;7.217703819;12.01503754;0;0;35;0;0;1
318;2;2;35;BG    ;2;5.079554558;11.64719486;0;0;35;0;0;2
319;2;3;723;BG    ;2;3.66658473;13.42223549;0;0;723;0;0;3
320;2;6;94;BG    ;2;3.701452971;14.69319153;0;0;94;0;0;4
321;2;11;108;BG    ;2;3.843990088;14.98126125;0;0;108;0;0;5
322;2;12;632;BG    ;2;3.686192036;13.10002613;0;0;632;0;0;6
323;2;14;51;BG    ;2;3.727921009;11.7571106;0;0;51;0;0;7
324;2;18;221;BG    ;2;3.694922447;14.81997681;0;0;221;0;0;8
325;2;19;314;BG    ;2;3.683165789;14.80494499;0;0;314;0;0;9
326;2;25;41;BG    ;2;3.698286295;10.86833668;0;0;41;0;0;10
327;4;1;132;BG    ;2;3.598858595;5.775263309;0;0;132;0;0;11
328;4;2;118;BG    ;2;3.648393393;5.669079781;0;0;118;0;0;12
329;6;1;91;BG    ;2;3.648121119;8.79079628;0;0;91;0;0;13
330;6;2;96;BG    ;2;3.571315765;8.393257141;0;0;96;0;0;14
331;6;3;49;BG    ;2;3.701363087;10.72976589;0;0;49;0;0;15
332;6;4;55;BG    ;2;3.553270578;11.17000675;0;0;55;0;0;16
333;8;1;155;BG    ;2;3.27128911;10.02390957;0;0;155;0;0;17
334;8;5;30;BG    ;2;3.305524111;10.82265091;0;0;30;0;0;18
335;11;1;76;BG    ;2;3.553488255;8.969885826;0;0;76;0;0;19
336;12;1;36;BG    ;2;3.534013748;5.309191227;0;0;36;0;0;20
337;12;2;71;BG    ;2;3.568729401;8.533128738;0;0;71;0;0;21
338;20;1;29;BG    ;2;3.346758842;6.886064053;0;0;29;0;0;22
339;25;1;44;BG    ;2;3.524750948;7.966478348;0;0;44;0;0;23
340;25;2;43;BG    ;2;3.592980862;7.803556919;0;0;43;0;0;24
341;25;3;85;BG    ;2;3.577078104;7.570545197;0;0;85;0;0;25
342;25;5;45;BG    ;2;3.59944725;7.687321186;0;0;45;0;0;26
343;25;6;34;BG    ;2;3.596968889;6.20455265;0;0;34;0;0;27
344;26;1;59;BG    ;2;3.252812862;4.973559856;0;0;59;0;0;28
345;29;1;62;BG    ;2;3.20786643;5.633257866;0;0;62;0;0;29
346;33;1;29;BG    ;2;3.223348379;6.39714241;0;0;29;0;0;30
347;33;4;34;BG    ;2;3.432100296;5.616978645;0;0;34;0;0;31
348;4;1;68;cerebe;3;3.624855995;7.446247578;0;0;0;68;0;1
349;4;2;77;cerebe;3;3.612342596;7.922281265;0;0;0;77;0;2
350;4;3;94;cerebe;3;3.594476938;7.65574789;0;0;0;94;0;3
351;4;4;64;cerebe;3;3.596749306;7.147623539;0;0;0;64;0;4
352;6;1;54;cerebe;3;3.56305337;10.80098152;0;0;0;54;0;5
353;6;2;63;cerebe;3;3.697466373;10.51922512;0;0;0;63;0;6
354;6;3;256;cerebe;3;3.664120913;12.99499321;0;0;0;256;0;7
355;6;4;287;cerebe;3;3.589685202;13.38735199;0;0;0;287;0;8
356;8;1;528;cerebe;3;3.258673429;13.79264927;0;0;0;528;0;9
357;8;2;78;cerebe;3;3.292623758;6.016728878;0;0;0;78;0;10
358;8;3;103;cerebe;3;3.425803185;7.427512169;0;0;0;103;0;11
359;8;4;144;cerebe;3;3.890430689;10.48431396;0;0;0;144;0;12
